name,category,sub_category,tags,by,date,url
Economic Hitman,Economy,,,,,https://www.youtube.com/watch?v=XWuAct1BxHU&index=7&list=PLDzXntD62pi5VXPu_Ij0XgciJL2ZFHJVf
Federal Reserve,Economy,,,,,https://www.youtube.com/watch?v=5IJeemTQ7Vk&list=PLDzXntD62pi47mKO8CagC4m3ePATE57wg&index=5
International Monetary Funds & World Bank,Economy,,,,,https://www.youtube.com/watch?v=P-5xDzTvW6E&list=PLDzXntD62pi47mKO8CagC4m3ePATE57wg&index=8
Petro Dollar,Economy,,,,,https://www.youtube.com/watch?v=djwPqAJ_3GY&list=PLDzXntD62pi47mKO8CagC4m3ePATE57wg&index=9
Annunaki,Education,,History,,,https://www.youtube.com/watch?v=THWrzaF3bMI&list=PLDzXntD62pi5Mg-D1Vxr9xAKD5JQajHN0&index=12
Sacred Geometry,Education,,Knowledge,,,https://www.youtube.com/watch?v=W7UOCw-FsIc&list=PLDzXntD62pi6dkKR8V7XwkU25fEaR6ktU&index=1
New World Order,Politics,,,,,https://www.youtube.com/watch?v=BMOPZzz2_DY&list=PLDzXntD62pi5Mg-D1Vxr9xAKD5JQajHN0&index=15
Bilderberg Group,Politics,,,,,https://www.youtube.com/watch?v=dGMecfM7Lgg&list=PLDzXntD62pi47mKO8CagC4m3ePATE57wg&index=11
The Free Masons,Religion,,"Group, Secret",,,https://www.youtube.com/watch?v=1iRgrItQpJc&list=PLDzXntD62pi5Mg-D1Vxr9xAKD5JQajHN0&index=16
Chemtrails,Science,,"Weather Modification, Health",,,https://www.youtube.com/watch?v=xFQ2_0QNiks&list=PLDzXntD62pi65DyzmzwoW1JlrJd3eNA0U&index=6
Genetically Modified Organism,Science,,"Food, Agriculture",,,https://www.youtube.com/watch?v=C4osE1BjdPw&list=PLDzXntD62pi4MuA_I77XlI9XFacIWnDho&index=5
NASA,Science,,Space,,,https://www.youtube.com/watch?v=yo5w0pm24ic&list=PLDzXntD62pi7PukX480m2QHEOuyywhEDq&index=2
Nikola Tesla,Science,,Energy,,,https://www.youtube.com/watch?v=5yZyyxJlrxw&index=1&list=PLDzXntD62pi6f4_Ulv7Wwo0Hhyj62V378
Vaccination,Science,,Health,,,https://www.youtube.com/watch?v=zncuOv9VBxw&list=PLDzXntD62pi4MuA_I77XlI9XFacIWnDho&index=8
9/11,Security,,"False Flag, Money",,,https://www.youtube.com/watch?v=ermHx3akejc&list=PLDzXntD62pi7ewFpbe-0I1d9dFDCQed_o&index=19
False Flag Operations,Security,,,,,https://www.youtube.com/watch?v=rHi-1PJsgbI&list=PLDzXntD62pi7s12-oQvk4IUlYmyn3PeQ4&index=4
HAARP,Security,,"Weather Modification, Technology, Energy, Health",,,https://www.youtube.com/watch?v=SToVBicIrJU&list=PLDzXntD62pi6f4_Ulv7Wwo0Hhyj62V378&index=7
Industrial Military Complex,Security,,,,,https://www.youtube.com/watch?v=bYY8JVliBXs&list=PLDzXntD62pi4oK5WRExOUXJhTjh0QXcbK&index=1
JFK Assination,Security,,,,,https://www.youtube.com/watch?v=U1Qt6a-vaNM&list=PLDzXntD62pi7EptksYNOoDs54nAOKh2rP&index=3
Mind Control,Security,,,,,https://www.youtube.com/watch?v=lOUcXK_7d_c&list=PLDzXntD62pi5DYJHpGkEUbNAfF834ctlo&index=8